GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANK8E001,ANK8E002,ANK8E003,ANK8E004,ANK8E005,ANK8E006,ANK8E007,ANK8E008,ANK8E009,ANK8E010,ANK8E011,ANK8E012,ANK8E013,ANK8E014,ANK8E015,ANK8E016,ANK8E017,ANK8E018,ANK8E019,ANK8E020,ANK8E021,ANK8E022,ANK8E023,ANK8E024,ANK8E025,ANK8E026,ANK8E027,ANK8E028,ANK8E029,ANK8E030,ANK8E031,ANK8E032,ANK8E033,ANK8E034,ANK8E035,ANK8E036,ANK8E037,ANK8E038,ANK8E039,ANK8E040,ANK8E041,ANK8E042,ANK8E043,ANK8E044,ANK8E045,ANK8E046,ANK8E047,ANK8E048,ANK8E049,NAME_M,ANK8M001,ANK8M002,ANK8M003,ANK8M004,ANK8M005,ANK8M006,ANK8M007,ANK8M008,ANK8M009,ANK8M010,ANK8M011,ANK8M012,ANK8M013,ANK8M014,ANK8M015,ANK8M016,ANK8M017,ANK8M018,ANK8M019,ANK8M020,ANK8M021,ANK8M022,ANK8M023,ANK8M024,ANK8M025,ANK8M026,ANK8M027,ANK8M028,ANK8M029,ANK8M030,ANK8M031,ANK8M032,ANK8M033,ANK8M034,ANK8M035,ANK8M036,ANK8M037,ANK8M038,ANK8M039,ANK8M040,ANK8M041,ANK8M042,ANK8M043,ANK8M044,ANK8M045,ANK8M046,ANK8M047,ANK8M048,ANK8M049
"G220","2021","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,"0400000US22","22","Louisiana",4624047,2260866,141470,150974,163667,94832,58384,35387,32425,90208,145904,154936,160542,146871,128116,130569,144219,56406,85069,54866,70892,96642,56998,35594,25895,2363181,140488,145091,156550,88971,59849,33813,30667,84085,145912,163889,163617,150947,130199,138453,143884,68855,92468,56737,82098,115513,70498,51821,48776,"Louisiana",,6153,3959,5677,6285,3848,4001,3892,4011,5472,4050,4345,6719,6643,3717,3631,5540,4088,4609,3379,4106,4148,3164,2282,2440,6153,4237,6622,6565,4160,4074,3894,3609,4277,4362,4362,6075,5900,3764,2935,5011,4005,4353,3840,3926,4676,3505,3081,2725
"G230","2021","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,"0400000US23","23","Maine",1372247,673483,31287,32380,40033,23352,15555,10438,6568,21702,38844,43725,43304,39691,38932,46359,51745,23835,28502,18804,28554,40862,24015,13524,11472,698764,29747,36693,33224,22959,14355,8985,9020,20871,40211,42886,44891,39563,40289,45119,51435,23622,35024,20295,29673,45783,28421,18108,17590,"Maine",,1978,845,2445,2330,868,812,1625,1438,1860,944,1317,2486,2445,974,892,2427,2535,1940,1729,1915,2355,1432,1282,1226,1978,775,2582,2403,853,1270,1910,1828,2268,1181,888,2894,2878,926,440,2439,2280,2234,1731,2057,2249,1956,1547,1846
"G240","2021","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,"0400000US24","24","Maryland",6165129,3003091,176219,195317,202613,121801,75834,36840,40854,114689,196103,209282,215731,192641,185788,197206,202347,83989,117002,61681,91352,125350,73682,48371,38399,3162038,174431,179602,194650,115464,77311,35544,37217,113483,194426,216714,219185,201734,191940,211221,213432,89992,131144,74601,102492,151513,100195,65789,69958,"Maryland",,2917,1573,6016,6120,1818,2273,3354,3872,4533,2315,2314,6026,5936,2555,1846,4511,4536,4776,3135,4017,3801,3061,2838,2616,2917,1721,4700,4719,1687,2918,3759,4028,4816,2008,1715,6010,5966,2019,1997,6168,4978,4891,4034,4331,5045,3817,3440,3489
"G250","2021","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,"0400000US25","25","Massachusetts",6984723,3408252,175289,183343,209335,127743,102375,51744,47485,137622,242060,248049,235722,210846,201737,227132,236255,98719,135310,74739,112766,154055,91601,55548,48777,3576471,170886,181910,192653,120781,109505,50948,51768,136581,242315,247190,235351,217616,209308,237486,247571,100204,145437,89380,121155,178690,115479,74148,100109,"Massachusetts",,2603,1327,5267,5356,1221,2092,4171,3391,4913,1722,1915,7080,6929,1776,1392,6516,4857,5737,3284,4228,4512,3509,2597,2934,2603,1188,5624,5529,1285,2723,3478,4212,4646,1433,1285,5695,5663,1343,1426,5277,4428,5195,3731,4432,4456,4607,3734,4437
"G260","2021","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,"0400000US26","26","Michigan",10050811,4976869,277827,304660,320312,197786,138551,68880,69799,193503,337300,334207,303974,303673,284389,324082,341671,140610,207122,125486,170399,235125,143767,84292,69454,5073942,268152,280914,311759,190527,129151,70998,66527,189570,320308,322539,303586,303341,289669,324380,331797,151411,224552,137292,178960,270996,175183,110243,122087,"Michigan",,4298,1989,7174,7557,2280,3624,4244,4400,5846,2439,2601,6445,6174,2097,2291,5744,5797,5396,4159,4162,4948,4174,3126,3638,4298,2217,7075,7067,2197,2504,4211,4649,5417,2690,2211,6678,6340,2268,1806,6411,4754,5392,4267,4533,4898,4512,4269,4041
"G270","2021","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,"0400000US27","27","Minnesota",5707390,2860668,169996,184804,197981,117959,76140,35954,37811,104941,185994,193650,203509,190078,165277,174724,186150,76178,115894,66816,87456,128236,69571,49612,41937,2846722,160738,174367,190646,112490,69935,37067,35130,102689,178473,184445,195133,181932,156512,172488,182467,79313,117253,70424,94333,133728,88236,60403,68520,"Minnesota",,3670,1663,5546,5029,2045,2369,3246,3142,4547,2412,2103,5363,5900,2183,2089,5048,3574,4571,3609,3162,3485,2270,2386,2186,3670,2048,5549,4884,1798,2094,3245,3468,4556,1922,2576,5710,5866,1991,1793,5193,3090,4860,3669,3267,4107,3046,2624,2897
"G280","2021","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,"0400000US28","28","Mississippi",2949965,1435423,91938,88936,110601,65766,46129,21451,17690,61450,87144,86096,95223,91855,86669,84778,88714,34580,57702,34206,44312,64676,38591,23206,13710,1514542,81344,87942,106686,58672,44515,19419,19910,59349,88950,94754,100906,95051,89830,93770,89755,41772,63673,42148,49712,73499,47331,33703,31851,"Mississippi",,5530,4539,4783,4516,3467,3495,3038,2694,4276,4002,3942,5709,5793,5384,3858,4001,3039,4152,2899,3498,3334,2383,1980,1772,5530,3905,5336,5416,3379,4093,2448,3372,4421,3312,4413,6138,4996,3279,3552,4749,3731,4160,3162,3567,3829,2815,2810,2340
"G290","2021","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,"0400000US29","29","Missouri",6168187,3045181,180792,196092,209921,125530,87697,42698,40559,116152,196993,200038,202890,197933,172527,184225,192805,87010,125300,76912,95804,133300,84992,52351,42660,3123006,173154,178959,202570,116519,81434,36340,40064,113072,196286,207325,203451,192026,175260,185732,200093,91398,130574,79394,106439,161020,103965,71856,76075,"Missouri",,5481,2826,5685,5809,2419,4168,3491,3811,4750,2759,2897,6566,6789,2261,2179,5018,4144,4689,4074,4033,3604,3110,3046,2479,5481,2678,5409,5639,2629,3390,3427,4146,5374,2289,2559,5985,6183,2806,1972,4833,4789,5052,3990,4896,5018,4096,3598,3695
"G300","2021","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,"0400000US30","30","Montana",1104271,560911,29274,35082,36786,20798,13302,6759,7538,25004,35598,36684,37761,34711,31347,31574,34332,16356,22912,15477,22277,29698,18216,11531,7894,543360,26817,32113,33600,20377,14406,7180,6351,22126,31805,35782,36192,31822,28135,29305,34459,15893,24792,15094,24133,29723,19602,11282,12371,"Montana",,2382,1363,2179,2595,1060,1603,1296,1694,2036,1234,1229,2342,2611,1166,1163,2027,1843,1988,1795,1848,2243,1513,1241,1148,2382,1438,2268,2663,1085,1741,1637,1286,2267,1271,1490,2268,2252,964,838,2041,1789,2007,1712,1691,1910,1692,1242,1564
"G310","2021","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,"0400000US31","31","Nebraska",1963692,986019,63287,68491,74198,43369,29028,12411,14948,40899,64516,63743,67209,65925,55274,54254,59829,25351,35560,23067,31402,39863,24843,14557,13995,977673,61309,62785,69808,38955,26448,11721,12632,40867,63892,60685,61329,63806,53108,53433,58959,25882,36948,22800,32743,46110,28606,20314,24533,"Nebraska",,2695,1566,2965,3095,1795,1636,1611,2253,2412,1874,1668,3265,3176,1718,1112,2582,1988,2227,1741,1891,1882,1361,1233,1255,2695,1540,3116,3022,1628,1314,1851,1729,2387,1609,1399,3221,3234,1344,1174,2533,2378,2349,1890,1947,2149,1653,1602,1557
"G320","2021","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,"0400000US32","32","Nevada",3143991,1585207,89569,100122,105351,62636,36372,18902,19839,55017,110881,118764,114091,107728,99007,103456,100618,37019,59585,36710,45918,72670,48613,23892,18447,1558784,87508,90641,103259,58533,31795,19926,16491,55204,106697,115421,111911,100089,94843,99660,93709,40271,59508,38665,53981,75779,50617,29131,25145,"Nevada",,2385,1487,4494,4452,1343,1505,2132,2798,3066,1431,1498,4676,4839,1404,1492,4303,3237,3677,2394,3045,3373,2358,1989,1492,2385,1681,4322,4354,1142,959,2369,2257,3424,1792,1442,4467,4205,1539,1799,3650,3119,2966,2771,3182,3258,2921,2497,2162
"G330","2021","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,"0400000US33","33","New Hampshire",1388992,693234,31316,34840,41107,24595,20339,9179,8089,25382,46150,46662,41497,42972,39480,50129,51569,22930,32533,18663,26040,36510,20676,12617,9959,695758,30904,32569,37783,23140,17625,9901,9365,24540,41118,44364,42727,39290,40047,48820,53350,22823,34116,18148,26366,41126,24354,17572,15710,"New Hampshire",,1796,945,2552,2897,915,1786,1543,1390,1910,1473,955,2812,2710,917,1622,3065,2245,2499,1903,2195,2405,1708,1624,1495,1796,1157,2561,2609,922,988,1554,1833,2026,937,960,2427,2364,889,944,2626,2361,2441,2027,2190,2371,1790,1962,1580
"G340","2021","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,"0400000US34","34","New Jersey",9267130,4563560,264291,284187,300468,186907,115790,55792,55521,167201,292665,306592,319485,294779,287817,314957,323669,125675,179829,107537,137826,184617,116794,75991,65170,4703570,251909,267497,292410,173207,103879,50749,51698,171197,286805,299635,296562,312301,293427,320952,328227,129623,197806,117634,154361,221213,153242,107904,121332,"New Jersey",,3087,1669,6834,6883,2040,2342,3812,4761,5576,1982,2179,7414,7589,2226,1994,7809,5852,6723,4675,4172,5845,4320,3945,3604,3087,1748,7014,6914,1901,2478,4594,4180,5077,2136,2134,7823,7096,1633,1680,6514,5348,6053,5380,5467,6827,5138,3556,4860
"G350","2021","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,"0400000US35","35","New Mexico",2115877,1052355,58869,66059,73574,41890,31200,11883,11872,44640,71726,71936,71465,70656,58498,57023,61537,26130,42269,25999,34194,53552,30857,21449,15077,1063522,56233,63781,69148,42254,30409,12451,13883,37182,67554,68259,68117,63723,59404,60104,65191,31792,43368,31077,43878,51338,36725,22276,25375,"New Mexico",,4637,3000,4169,4367,2267,2378,2126,2120,3941,3094,3607,4434,4150,2840,2674,3367,2664,2678,2287,2619,2723,2376,2275,1790,4637,2634,3979,3630,2275,2558,2451,2508,3421,2455,3377,4352,3749,2569,2263,3199,2968,3148,2437,2564,2370,2317,2113,2050
"G360","2021","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,"0400000US36","36","New York",19835913,9696573,559527,571628,607612,363689,256763,123615,126509,370181,678244,716645,666415,609107,572049,639466,652214,273167,381640,229111,295997,428294,265862,162774,146064,10139340,533171,535396,585330,347213,248403,129638,118526,371618,689476,709596,651565,629764,592105,660571,676448,292558,418727,251543,329652,508179,350977,240224,268660,"New York",,5103,2703,10536,10546,2462,3708,5816,5867,7993,2537,2774,12349,12271,2746,2758,8151,8507,9160,7274,7610,8412,6606,6277,5626,5103,2819,11594,11789,2938,3139,6791,6205,8337,2858,2641,12000,11612,2564,2642,10100,8713,9339,7159,7553,10058,7451,7278,6548
"G370","2021","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,"0400000US37","37","North Carolina",10551162,5149323,297747,311648,355206,211026,152312,77269,72769,212245,337963,343415,330786,330557,320850,343300,331201,140138,187749,113068,158737,238432,143354,83354,56197,5401839,285054,306079,334554,198432,147941,71437,73842,197969,336124,359162,339542,350052,333731,355566,344596,145091,219440,130579,188142,278014,183095,109339,114058,"North Carolina",,8160,4430,8037,9033,4950,5673,5610,5360,8669,4996,4777,7889,8989,4518,5048,7946,5792,7072,5906,5336,6489,4163,4084,3327,8160,5161,8051,7742,4156,5355,5274,5069,8114,4645,4740,8250,8052,3980,3911,8148,6121,7334,4359,5821,5621,5066,4401,4313
"G380","2021","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,"0400000US38","38","North Dakota",774948,399544,26359,27139,26880,13339,11457,6618,7709,19940,29815,29668,27916,26270,20238,20623,23344,10750,13558,9545,10901,16432,9103,6149,5791,375404,24791,24793,24859,14429,13240,5442,6610,14604,24985,25862,24666,21718,18406,19638,20739,9981,14722,8718,11377,16409,11143,7556,10716,"North Dakota",,3005,1290,2526,2191,1234,1247,1336,2046,2614,1630,1632,2328,2475,1241,1266,1791,1712,1407,1167,1064,1115,972,837,871,3005,1351,1900,1892,1119,1801,1256,1324,1835,1753,1603,2334,2093,887,1087,1896,1461,1595,1274,1124,1286,1226,972,1203
"G390","2021","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,"0400000US39","39","Ohio",11780017,5808575,342295,372616,384540,234704,158884,85630,77698,214735,386421,387902,374790,357642,339981,371877,375715,157780,243874,146684,187933,273728,153904,99229,80013,5971442,326640,343714,373464,225437,152217,79254,70871,219345,375753,389907,370562,357742,339535,373559,390423,165550,256391,153350,212413,309045,201664,137406,147200,"Ohio",,5120,2820,7954,7276,2822,3484,4507,4940,6389,3387,3253,8960,9457,2537,2254,7462,4837,6311,5420,6082,6226,4009,4078,3555,5120,2469,8834,8560,2619,4158,5285,4080,6767,3125,2695,8088,7588,2269,2330,8128,5970,6595,6055,6145,6318,4403,4062,4358
"G400","2021","OK",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,"0400000US40","40","Oklahoma",3986639,1984707,126131,138419,145061,84276,57233,32991,32513,78350,133513,135097,137174,128822,112774,112861,114327,49793,74671,42745,57760,84394,53028,29728,23046,2001932,115474,127985,137859,82733,53401,30956,28834,74534,125663,134802,137315,125300,109678,113336,120153,53723,75713,45242,62241,99060,63429,42974,41527,"Oklahoma",,3699,2097,4153,3718,1956,2740,2693,2639,3772,2674,2351,3473,4040,2158,1576,3327,3108,2767,2552,2699,2957,2260,1788,1493,3699,2135,3591,3606,1964,2493,2646,2505,3427,2050,1955,3805,4127,1830,1949,3758,2795,3502,2466,2730,3297,2778,2526,2231
"G410","2021","OR",,,"Oregon","41",,,,,,,,,,,,,,,,,,,"0400000US41","41","Oregon",4246155,2121532,107629,124157,131170,82188,52519,25588,24882,80390,143183,157997,156078,146768,132946,133071,127068,53773,77865,52517,68992,111118,63078,37748,30807,2124623,102701,110798,129154,70869,49819,25999,23788,73869,142390,152118,146937,145046,126711,129306,125373,58381,85728,56048,80520,121954,74127,46403,46584,"Oregon",,4133,2362,4842,4915,2325,2518,2863,2658,4374,2398,2002,5385,5318,2310,2033,4398,3725,4636,3108,3596,3101,3032,2386,2407,4133,2020,5249,5743,2328,2606,3545,3059,3791,2305,2376,5697,5597,2458,1974,4392,3468,3747,3582,3403,3768,3344,3096,3139
"G420","2021","PA",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,"0400000US42","42","Pennsylvania",12964056,6399632,346765,370098,407551,247366,172620,85369,83558,227539,419130,443832,429509,382352,368027,422191,427607,186682,276446,161030,221762,314996,189798,114668,100736,6564424,331313,352924,388751,229459,170447,85854,77023,225474,403527,428409,407971,393819,366901,417644,446946,189396,286653,176533,245439,348028,234159,166050,191704,"Pennsylvania",,4580,2828,9113,8857,2880,3234,5139,4718,5902,2736,3092,8685,8336,2904,2924,7688,6108,7047,5046,5626,5804,4980,4611,4137,4580,2197,7961,7800,2573,2603,5610,5353,6707,3214,2408,8018,8095,3562,2398,8092,6674,7283,5391,6407,7597,5194,5367,5633
"G440","2021","RI",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,"0400000US44","44","Rhode Island",1095610,536589,27114,27238,32979,20121,18063,8693,8966,22192,34240,39252,35550,33526,30552,35154,35175,16771,22407,13092,17106,26219,15044,7983,9152,559021,25653,28421,28647,18148,18616,9874,8940,18481,35771,37883,34640,33591,31540,36091,37307,19984,23829,12947,20591,29061,19565,13628,15813,"Rhode Island",,1755,637,2538,2699,1128,1384,1787,2023,2840,1104,643,2595,2777,858,773,2284,2023,2260,1593,1372,1943,1545,1306,1417,1755,638,2782,2754,1047,1073,1698,2477,2303,877,681,2490,2435,849,427,2689,1961,2268,1591,2095,2400,1948,1561,1844
"G450","2021","SC",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,"0400000US45","45","South Carolina",5190705,2521689,141024,158706,165384,102940,76216,38511,39649,91475,157773,165259,155132,162928,145336,157605,155385,66998,107421,62020,85730,133118,79615,43851,29613,2669016,134769,149390,164719,99064,73614,33636,33034,90176,160231,177672,171576,161632,153013,167090,181168,73990,110966,67983,96964,160737,96793,55984,54815,"South Carolina",,5263,3350,6567,7086,3272,3242,4214,4058,4717,3745,3754,6429,5889,4162,2817,4544,4069,4859,3839,4296,5030,3512,2880,2776,5263,3540,6617,6556,3172,4060,3933,3541,4670,3324,3295,6428,6232,3771,2399,6073,4111,5172,3851,4717,5312,4132,3538,3312
"G460","2021","SD",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,"0400000US46","46","South Dakota",895376,451950,29295,31517,32299,19481,12556,5165,6146,18725,27966,29358,32621,25146,23695,25292,25780,14517,17746,11978,15091,22223,13091,7051,5211,443426,28784,31561,29995,17689,13498,6155,6096,16037,25406,27481,28600,26110,22353,23443,27198,13930,15852,11804,14276,22463,12021,10013,12661,"South Dakota",,2694,1159,2675,2617,1027,1474,1162,1262,1630,1153,1395,2037,1971,1027,1127,1836,1549,1928,1527,1608,1475,1063,995,817,2694,1269,1841,1915,1441,1452,1344,1275,1699,1436,1029,2094,1981,1047,855,2166,1794,1851,1363,1556,1531,1241,1184,1390
"G470","2021","TN",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,"0400000US47","47","Tennessee",6975218,3413181,202597,217844,226632,136680,89813,49258,46045,128288,237448,225105,230276,217532,207962,224065,217665,89362,134085,77800,108924,156268,96153,53720,39659,3562037,194661,207222,218830,133149,89873,50385,45032,124376,236945,239537,233924,220016,214447,225232,226436,97756,149386,84573,128818,175718,116377,76816,72528,"Tennessee",,5931,3398,6820,7347,2825,4383,4595,3517,4989,3706,3409,7513,8161,3761,3334,6389,5155,5271,4039,4221,4483,3049,2653,3045,5931,3550,6364,6359,4071,5100,3948,4050,6214,3245,2944,7804,7621,3330,2757,6248,5117,5498,3858,5106,4809,4467,3935,3445
